contract_id;station_number;status;bike_stands;bonus;banking;latitude;longitude;address;station_name
14;10084;1;30;0;1;45.783533;4.871294;84 avenue des Arts;10084 - DOUA / AVENUE DES ARTS
14;10086;1;10;0;1;45.769837;4.889629;Angle Rue de PrÈssensÈ / Flachet;10086 - ANATOLE FRANCE
14;10087;1;12;0;1;45.760603;4.900702;Face au 115 rue Pierre Baratin;10087 - BARATIN
14;10088;1;19;0;1;45.766219;4.89788;COURS EMILE ZOLA (VILLEURBANNE);10088 - 4 AO√õT 1789 / PRESSENS…
14;10089;1;15;0;1;45.774581;4.87406;Rue Colin - Angle rue Alexis Perroncel;10089 - COLIN / PERRONCEL
14;10091;1;16;0;1;45.774754;4.887977;28 RUE DU CH√ÇTEAU GAILLARD (VILLEURBANNE);10091 - CH√ÇTEAU GAILLARD / FORT
14;10092;1;17;0;1;45.771561;4.890378;3 RUE DU CHAMP DE L'ORME (VILLEURBANNE);10092 - MONTGOLFIER / CHATEAU GAILLARD
14;10101;1;34;0;1;45.779429;4.873992;43 BVD DU 11 NOVEMBRE 1918 (VILLEURBANNE);10101 - EINSTEIN / BOULEVARD DU 11 NOVEMBRE
14;10102;1;30;0;1;45.781008;4.871219;ave G. Berger;10102 - DOUA / G. BERGER
14;10103;1;30;0;1;45.784526;4.877482;103 ave des Arts / rue des Sports;10103 - DOUA / RUE DES SPORTS
14;10110;1;18;0;1;45.75958;4.882739;20 RUE VALENTIN HAUY (VILLEURBANNE);10110 - M…MOIRE ET SOCI…T…
14;10111;1;16;0;1;45.770309;4.86196;106 COURS VITTON (LYON 6Ëme);10111 - CHARLES HERNU
14;10112;1;32;0;1;45.754415;4.885249;105 ROUTE DE GENAS (VILLEURBANNE);10112 - PLACE DE LA RECONNAISSANCE
14;10113;1;22;0;1;45.755768;4.891542;49 AV. GENERAL LECLERC (VILLEURBANNE);10113 - GARE DE VILLEURBANNE
14;10114;1;20;0;1;45.757931;4.910776;2 AV. DU BEL AIR (VILLEURBANNE);10114 - BEL AIR / LES BROSSES
14;10115;1;22;0;1;45.754181;4.90528;173 AV. PAUL KRUGER (VILLEURBANNE);10115 - PLACE D'ESPAGNE / STADE KRUGER
14;10116;0;17;0;1;45.760617;4.906235;;10116 - BLUM / FAYS
14;10117;1;22;0;1;45.764567;4.892349;166 RUE DU QUATRE AOUT (VILLEURBANNE);10117 - LA PERALLI»RE
14;10118;1;22;0;1;45.767194;4.900597;99 RUE PIERRE VOYANT (VILLEURBANNE);10118 - VOYANT / CHAMBORD
14;10119;1;12;0;1;45.780422;4.904505;2 RUE DES ACACIAS VILLEURBANNE;10119 - VILLEURBANNE SAINT JEAN
14;10120;1;15;0;1;45.7759505003;4.87143421498;41 AV. ROGER SALENGRO (VILLEURBANNE);10120 - SALENGRO / DESCARTES
14;10121;1;16;0;1;45.771912;4.87907;ANGLE RUE BILLON / RUE F. DE PRESSENSE;10121 - PARC DU CENTRE
14;10122;1;21;0;1;45.784023;4.897102;17 RUE DE VERDUN (VILLEURBANNE);10122 - VERDUN / DESGRAND
14;11001;1;18;1;1;45.785796;4.833733;2 RUE CLAUDE BERNARD (CALUIRE ET CUIRE);11001 - GARE DE CUIRE
14;11002;1;20;0;1;45.785465;4.847838;49 COURS ARISTIDE BRIAND (CALUIRE);11002 - SAINT CLAIR
14;11003;1;20;0;1;45.791748;4.823595;Quai Gillet au  niveau de la place de la Rochette. Caluire et Cuire.;11003 - LA ROCHETTE
14;12001;1;25;0;1;45.760908;4.920569;45 RUE DE LA POUDRETTE (VILLEURBANNE);12001 - LA SOIE
14;12002;1;20;0;1;45.76438;4.919276;Face au 2 rue de la Poudrette, Vaulx en Velin;12002 - POUDRETTE LA SOIE
